NodeNo	x	y	T	qx	qy
229	0.312500	0.250000	81.534829	813.707169	-4041.833855
230	0.593750	0.031250	75.730398	1652.579798	-3360.354632
231	0.656250	0.031250	75.182360	1856.938841	-3336.237868
232	0.625000	0.062500	75.995661	1765.241668	-3451.406452
233	0.718750	0.031250	74.569504	2067.141625	-3308.500031
234	0.656250	0.093750	76.257661	1879.803789	-3545.689127
235	0.781250	0.031250	73.890141	2282.191858	-3276.883659
236	0.750000	0.062500	74.761281	2189.401528	-3401.337052
237	0.781250	0.093750	74.948464	2314.001279	-3496.383188
238	0.718750	0.093750	75.637017	2094.271493	-3523.581315
239	0.843750	0.093750	74.190564	2537.544750	-3463.551623
240	0.812500	0.125000	75.130978	2441.425005	-3593.370460
241	0.687500	0.125000	76.516582	1996.592551	-3643.159049
242	0.843750	0.031250	73.142949	2500.764169	-3241.185202
243	0.906250	0.031250	72.327059	2721.380038	-3201.370297
244	0.875000	0.062500	73.255741	2630.669023	-3332.717059
245	0.968750	0.031250	71.442050	2909.412953	-3199.467298
246	0.906250	0.093750	73.362393	2728.927687	-3466.483367
247	0.718750	0.156250	76.772541	2116.036070	-3743.771205
248	0.781250	0.156250	76.076268	2341.897699	-3721.563518
249	0.750000	0.187500	77.025571	2238.675193	-3847.465594
250	0.843750	0.156250	75.308616	2536.178854	-3734.218110
251	0.781250	0.218750	77.275600	2326.941206	-3996.194443
252	0.343750	0.281250	82.040291	895.164623	-4136.634044
253	0.281250	0.281250	82.292441	747.758648	-4151.144453
254	0.406250	0.281250	81.732541	1077.329485	-4152.751642
255	0.375000	0.312500	82.548209	975.968543	-4235.481023
256	0.468750	0.281250	81.366477	1268.731966	-4169.077470
257	0.406250	0.343750	83.059371	1056.055984	-4338.960983
258	0.343750	0.343750	83.360637	901.863313	-4344.630462
259	0.531250	0.281250	80.939051	1470.305045	-4184.245967
260	0.500000	0.312500	81.821183	1359.222881	-4277.883884
261	0.531250	0.343750	82.279156	1450.501908	-4392.424133
262	0.468750	0.343750	82.700050	1247.352694	-4365.787755
263	0.593750	0.343750	81.792814	1666.467435	-4416.805016
264	0.562500	0.375000	82.741205	1542.888934	-4513.413325
265	0.437500	0.375000	83.574669	1135.405706	-4447.738924
266	0.593750	0.281250	80.446972	1682.645119	-4196.589434
267	0.656250	0.281250	79.886825	1905.892499	-4204.152357
268	0.625000	0.312500	80.840881	1787.683643	-4313.492940
269	0.718750	0.281250	79.255238	2099.329577	-4245.648865
270	0.656250	0.343750	81.236915	1853.927026	-4475.022115
271	0.468750	0.406250	84.095107	1214.043400	-4562.577473
272	0.406250	0.406250	84.444151	1050.600187	-4557.025364
273	0.531250	0.406250	83.684651	1417.761141	-4602.742478
274	0.500000	0.437500	84.621809	1292.047611	-4684.359394
275	0.593750	0.406250	83.208203	1594.458586	-4676.715090
276	0.531250	0.468750	85.156035	1328.003528	-4844.464137
277	0.468750	0.468750	85.551447	1193.277992	-4794.588122
278	0.031250	0.093750	79.173405	79.530365	-3613.992676
279	0.062500	0.125000	79.725625	159.371987	-3693.590924
280	0.031250	0.156250	80.327651	79.516105	-3773.166429
281	0.093750	0.156250	80.277848	239.216875	-3773.834526
282	0.031250	0.218750	81.531599	78.833432	-3931.651715
283	0.125000	0.187500	80.830224	318.767969	-3855.072827
284	0.093750	0.218750	81.482216	237.219269	-3933.696174
285	0.093750	0.281250	82.736307	233.081323	-4091.592804
286	0.062500	0.250000	82.133737	156.643292	-4011.250853
287	0.125000	0.312500	83.339699	307.807997	-4173.092600
288	0.093750	0.343750	84.039284	226.627320	-4246.050940
289	0.031250	0.281250	82.784826	77.434890	-4088.062320
290	0.156250	0.218750	81.383004	397.735961	-3937.678160
291	0.187500	0.250000	81.936546	475.844122	-4022.049162
292	0.156250	0.281250	82.638789	391.034968	-4098.530446
293	0.218750	0.281250	82.491311	552.826414	-4108.617402
294	0.156250	0.343750	83.944421	380.492638	-4256.195606
295	0.031250	0.343750	84.086454	75.263442	-4240.914103
296	0.062500	0.375000	84.737673	147.955039	-4317.756367
297	0.031250	0.406250	85.435129	72.257485	-4388.596152
298	0.093750	0.406250	85.389827	217.670059	-4395.462937
299	0.031250	0.468750	86.828969	68.359135	-4529.383360
300	0.250000	0.312500	83.047874	628.432249	-4197.852819
301	0.218750	0.343750	83.800823	538.536855	-4271.080912
302	0.218750	0.406250	85.160511	518.399172	-4429.188841
303	0.187500	0.375000	84.551104	450.801675	-4341.385697
304	0.250000	0.437500	85.773544	582.947216	-4520.178409
305	0.218750	0.468750	86.568749	491.892503	-4581.166587
306	0.156250	0.406250	85.298664	365.776066	-4409.077381
307	0.218750	0.531250	88.023319	458.545319	-4725.023138
308	0.187500	0.500000	87.359296	404.879415	-4638.728889
309	0.156250	0.531250	88.145362	322.526994	-4693.305998
310	0.156250	0.468750	86.699756	346.551300	-4555.419396
311	0.156250	0.593750	89.632525	293.504121	-4820.681233
312	0.125000	0.562500	88.927290	245.422317	-4745.377872
313	0.125000	0.437500	86.043585	284.006247	-4474.513069
314	0.250000	0.562500	88.693106	507.068935	-4814.923981
315	0.218750	0.593750	89.521353	418.001261	-4858.567230
316	0.218750	0.656250	91.059264	370.103782	-4979.440708
317	0.187500	0.625000	90.342692	335.258176	-4898.520863
318	0.250000	0.687500	91.783897	397.390179	-5063.988523
319	0.218750	0.718750	92.632716	314.980848	-5085.201937
320	0.156250	0.656250	91.157628	259.423733	-4935.393058
321	0.093750	0.468750	86.786096	206.027413	-4538.091775
322	0.093750	0.531250	88.225685	191.542819	-4672.074699
323	0.062500	0.500000	87.526572	132.362738	-4600.247103
324	0.093750	0.593750	89.705591	174.113974	-4795.448947
325	0.031250	0.531250	88.265539	63.519886	-4661.437167
326	0.281250	0.343750	83.606923	702.423904	-4290.270602
327	0.312500	0.375000	84.169267	774.577375	-4386.439672
328	0.281250	0.406250	84.973668	677.398191	-4455.376971
329	0.343750	0.406250	84.735844	844.677809	-4486.994657
330	0.281250	0.468750	86.391249	644.102828	-4614.980359
331	0.375000	0.437500	85.307727	912.519386	-4592.649730
332	0.343750	0.468750	86.164773	805.346497	-4656.290584
333	0.343750	0.531250	87.645679	754.733329	-4818.863370
334	0.312500	0.500000	87.014835	701.498846	-4714.285896
335	0.375000	0.562500	88.285355	803.359130	-4929.572835
336	0.343750	0.593750	89.176083	691.879850	-4972.149953
337	0.281250	0.531250	87.857639	601.809536	-4767.008379
338	0.406250	0.468750	85.886141	977.898682	-4704.215603
339	0.437500	0.500000	86.472479	1040.609189	-4822.622523
340	0.406250	0.531250	87.384008	919.963501	-4879.894638
